,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
77,Grenada,40,US,1562187992,62,33.77,-89.81,89.6,4.7
78,Iquique,20,CL,1562188051,63,-20.22,-70.14,62.6,11.41
79,Esperance,0,AU,1562188053,81,-33.86,121.89,50.0,17.22
80,Los Llanos de Aridane,40,ES,1562188055,73,28.66,-17.92,71.6,17.22
81,Altay,32,CN,1562188057,54,47.83,88.13,52.68,5.3
82,Longyearbyen,75,NO,1562188058,75,78.22,15.63,44.6,4.5
83,Korcula,0,HR,1562188059,48,42.96,17.14,86.0,2.24
84,Road Town,40,VG,1562188061,51,18.42,-64.62,86.0,11.41
85,Paris,0,FR,1562187781,45,48.86,2.35,69.8,11.41
86,Port Hedland,0,AU,1562187900,58,-20.31,118.58,57.2,8.05
87,Key West,20,US,1562187902,44,47.93,-96.78,81.0,5.82
88,Fortuna,20,US,1562188066,77,40.6,-124.16,68.0,13.87
89,Tumbes,75,PE,1562188067,33,-3.57,-80.46,89.6,11.41
90,Tulu Bolo,7,ET,1562188069,93,8.66,38.21,55.56,1.68
91,Znamenskoye,67,RU,1562188070,97,57.13,73.82,55.02,5.79
92,Barrow,88,AR,1562188072,64,-38.31,-60.23,41.52,12.75
93,Bowen,40,AU,1562188073,82,-20.01,148.25,69.01,13.87
94,Lebu,14,ET,1562188075,87,8.96,38.73,57.0,0.6
95,Butaritari,0,KI,1562188076,67,3.07,172.79,84.18,4.32
96,Petropavlovsk-Kamchatskiy,90,RU,1562188078,100,53.05,158.65,46.4,1.01
97,Whyalla,0,AU,1562188079,87,-33.04,137.58,50.0,8.05
98,Tuktoyaktuk,40,CA,1562188080,59,69.44,-133.03,60.8,9.17
99,Lorengau,26,PG,1562188081,83,-2.02,147.27,78.06,5.46
100,Severo-Kurilsk,100,RU,1562188083,99,50.68,156.12,42.6,8.03
101,Deputatskiy,91,RU,1562188085,75,69.3,139.9,41.88,5.46
102,Rawson,91,AR,1562188086,60,-43.3,-65.11,36.48,13.42
103,Chapais,20,CA,1562188088,36,49.78,-74.86,80.6,5.82
104,Provideniya,90,RU,1562188089,87,64.42,-173.23,46.4,6.71
105,Guerrero Negro,0,MX,1562188091,84,27.97,-114.04,67.08,15.86
106,Nicoya,40,CR,1562187830,59,10.15,-85.45,89.6,18.34
107,Mocuba,34,MZ,1562188093,98,-16.84,36.99,63.84,2.57
108,Shache,92,CN,1562188095,28,38.42,77.24,78.42,23.58
109,La Tuque,0,CA,1562188097,29,47.44,-72.79,82.38,8.5
110,Talnakh,0,RU,1562188098,55,69.49,88.39,64.4,4.47
111,Richards Bay,0,ZA,1562188100,71,-28.77,32.06,65.64,8.23
112,Umrala,100,IN,1562188102,72,21.84,71.8,83.1,11.83
113,Bereznik,30,RU,1562188104,87,62.86,42.71,53.58,2.24
114,Hermanus,0,ZA,1562188049,85,-34.42,19.24,57.0,4.0
115,Jiazi,0,CN,1562188106,94,19.61,110.49,80.6,6.71
116,Buala,4,SB,1562188108,84,-8.15,159.59,80.04,9.06
117,Cherskiy,88,RU,1562188110,58,68.75,161.3,50.34,6.69
118,Antalaha,10,MG,1562188111,98,-14.9,50.28,62.04,4.0
119,Ilulissat,20,GL,1562187876,61,69.22,-51.1,46.4,6.93
120,Nalut,0,LY,1562188114,58,31.86,10.98,74.28,13.42
121,Straumen,90,NO,1562188116,81,63.87,11.3,46.0,12.75
122,Sitka,0,US,1562188114,53,37.17,-99.65,89.01,7.0
123,Pierre,1,US,1562188118,57,44.37,-100.35,86.0,3.76
124,Hobart,20,AU,1562187928,86,-42.88,147.33,39.99,4.7
125,Kruisfontein,0,ZA,1562188085,80,-34.0,24.73,51.42,2.42
126,Faanui,59,PF,1562188122,74,-16.48,-151.75,77.16,31.34
127,Bethel,90,US,1562188123,100,60.79,-161.76,53.6,21.92
128,Kudahuvadhoo,56,MV,1562188125,73,2.67,72.89,82.92,4.68
129,Coruripe,0,BR,1562188127,93,-10.12,-36.18,72.48,5.53
130,Codrington,90,AU,1562188128,100,-28.95,153.24,68.0,6.55
131,Susangerd,0,IR,1562188130,22,31.56,48.19,96.8,11.41
132,Vestmannaeyjar,20,IS,1562188131,82,63.44,-20.27,50.34,11.41
133,West Wendover,1,US,1562188133,21,40.74,-114.07,82.4,11.41
134,Tiksi,100,RU,1562188134,90,71.64,128.87,39.0,2.62
135,Kriel,0,ZA,1562188136,67,-26.26,29.26,37.0,1.54
136,Itarema,25,BR,1562188138,86,-2.92,-39.92,76.44,5.77
137,Praia,0,BR,1562188139,29,-20.25,-43.81,78.8,8.05
138,Saint-Pierre,0,FR,1562188141,55,48.95,4.24,68.0,12.75
139,Asyut,0,EG,1562188143,33,27.18,31.19,86.0,9.17
140,Searcy,40,US,1562188144,66,35.25,-91.74,91.99,12.75
141,Semporna,75,MY,1562188146,100,4.48,118.61,73.4,3.36
142,Port Lincoln,0,AU,1562188148,78,-34.72,135.86,56.82,16.75
143,Narsaq,20,GL,1562188149,38,60.91,-46.05,59.0,8.05
144,Lubbock,1,US,1562188057,28,33.58,-101.86,96.01,11.41
145,Bathsheba,20,BB,1562188152,58,13.22,-59.52,87.8,21.92
146,Mahebourg,75,MU,1562188154,94,-20.41,57.7,69.8,5.82
147,Popovo,19,BG,1562188155,83,43.35,26.23,69.8,13.87
148,Westport,20,US,1562188157,48,41.14,-73.36,89.01,3.36
149,Birao,60,CF,1562188159,74,10.3,22.78,78.06,6.78
150,Jumla,99,NP,1562188160,94,29.28,82.18,56.82,2.44
151,Upernavik,100,GL,1562188162,85,72.79,-56.15,40.8,10.69
152,Bocas del Toro,100,PA,1562188163,48,9.33,-82.25,62.01,5.01
153,Newport,20,US,1562188165,58,41.49,-71.31,91.0,13.87
154,Nanortalik,67,GL,1562188166,75,60.14,-45.24,44.22,4.54
155,Wajima,100,JP,1562188167,93,37.4,136.9,68.34,2.73
156,Belyy Yar,100,RU,1562188169,100,53.6,91.39,51.8,2.24
157,Sao Felix do Xingu,100,BR,1562188171,66,-6.64,-51.99,80.58,1.03
158,Luanda,0,AO,1562187948,88,-8.83,13.24,71.6,9.26
159,Cidreira,0,BR,1562188174,50,-30.17,-50.22,50.7,12.68
160,Tungor,100,RU,1562188175,86,53.39,142.95,49.8,15.86
161,Bacolod,100,PH,1562188177,82,10.68,122.95,79.5,8.05
162,Buchanan,75,LR,1562188178,94,5.88,-10.05,78.8,5.82
163,Cabedelo,40,BR,1562188179,88,-6.97,-34.84,78.8,1.12
164,Hirara,98,JP,1562188181,85,24.8,125.28,84.36,21.7
165,Dunedin,14,NZ,1562188121,67,-45.87,170.5,48.99,18.01
166,Bataipora,100,BR,1562188175,96,-22.3,-53.27,66.9,2.89
167,Kodiak,40,US,1562188154,27,39.95,-94.76,91.0,14.99
168,Evensk,100,RU,1562188187,93,61.92,159.24,47.82,7.34
169,Byron Bay,40,AU,1562188188,68,-28.65,153.62,68.0,18.34
170,East London,0,ZA,1562188190,77,-33.02,27.91,53.58,3.33
171,Amapa,20,HN,1562188191,49,15.09,-87.97,93.2,17.22
172,Opuwo,0,NA,1562188192,25,-18.06,13.84,53.76,6.42
173,Zhangjiakou,44,CN,1562188194,45,40.77,114.88,60.42,3.6
174,Biltine,1,TD,1562188196,36,14.53,20.93,92.64,6.64
175,Mpika,0,ZM,1562188197,76,-11.84,31.4,60.6,7.38
176,Cayenne,0,GF,1562188120,70,4.94,-52.33,84.2,11.41
177,Moindou,0,NC,1562188200,93,-21.69,165.68,66.2,2.24
178,Aswan,0,EG,1562188130,15,24.09,32.9,95.0,14.99
179,San Patricio,0,PY,1562188203,71,-26.98,-56.83,51.6,6.24
180,Hamilton,75,CA,1562188177,65,43.26,-79.87,88.0,3.36
181,Dikson,96,RU,1562188206,84,73.51,80.55,37.02,10.2
182,Zyryanskoye,6,RU,1562188207,98,56.83,86.62,61.68,6.35
183,Muriwai Beach,100,NZ,1562188208,100,-36.82,174.45,63.0,9.17
184,Sao Filipe,95,CV,1562188210,86,14.9,-24.5,73.92,13.53
185,Chuy,42,UY,1562188211,67,-33.69,-53.46,46.74,16.46
186,Mount Gambier,19,AU,1562188212,100,-37.83,140.78,42.8,5.82
187,Rome,0,IT,1562187965,50,41.89,12.48,80.01,2.24
188,Kotido,100,UG,1562188215,78,3.01,34.12,68.34,5.19
189,Sambava,0,MG,1562188216,93,-14.27,50.17,63.84,3.78
190,Port Macquarie,75,AU,1562188218,93,-31.43,152.91,57.0,1.12
191,Shingu,100,JP,1562188219,100,33.72,135.99,69.24,8.5
192,Pendleton,1,US,1562188221,59,34.65,-82.78,96.8,3.36
193,Panorama,100,BR,1562188222,52,-21.35,-51.86,77.88,4.7
194,Wadena,34,CA,1562188224,58,51.95,-103.8,63.66,9.95
195,Yumen,53,CN,1562188227,19,40.29,97.04,78.96,9.89
196,Port Blair,100,IN,1562188079,80,11.67,92.75,83.46,24.56
197,Tecalitlan,75,MX,1562188034,46,19.47,-103.3,91.4,3.04
198,Aklavik,75,CA,1562188233,49,68.22,-135.01,69.8,9.17
199,Ludvika,11,SE,1562188234,61,60.15,15.18,54.0,6.93
200,Placerville,1,US,1562188005,38,38.73,-120.8,90.0,9.17
201,Zhigansk,0,RU,1562188236,63,66.77,123.37,49.44,11.52
202,Waingapu,58,ID,1562188238,90,-9.65,120.26,67.08,8.84
203,Flinders,90,AU,1562188239,100,-34.58,150.85,57.0,8.05
204,Rio Grande,0,BR,1562188241,72,-32.03,-52.1,53.6,14.99
205,Porto Novo,0,BR,1562188243,44,-23.68,-45.44,77.0,3.36
206,Ranong,100,TH,1562188245,79,9.96,98.62,83.1,18.72
207,Leh,0,IN,1562188246,45,34.16,77.58,35.94,4.27
208,Ardmore,1,US,1562188247,58,34.99,-86.85,91.99,5.82
209,Banjar,84,ID,1562188249,97,-7.37,108.54,70.5,1.34
210,Iskateley,0,RU,1562188250,69,67.68,53.15,64.74,9.33
211,San Lazaro,75,BZ,1562188252,74,18.04,-88.66,89.6,11.41
212,Yumaguzino,0,RU,1562188253,93,52.9,56.39,56.64,4.27
213,Jaca,20,ES,1562188254,39,42.57,-0.55,80.01,9.17
214,Ostrovnoy,100,RU,1562188256,97,68.05,39.51,48.0,9.24
215,Haapsalu,100,EE,1562188257,68,58.95,23.55,55.99,10.0
216,Tubuala,40,PA,1562188259,83,9.52,-79.03,82.4,4.7
217,Sokoni,5,CD,1562188260,69,-12.89,28.78,61.32,7.45
218,Srednekolymsk,100,RU,1562188262,51,67.46,153.71,57.18,6.71
219,Fez,0,MA,1562188264,60,34.03,-5.02,71.6,12.75
220,Great Yarmouth,0,GB,1562188265,76,52.61,1.73,60.01,4.7
221,Wakema,100,MM,1562188267,92,16.6,95.18,77.88,6.87
222,Saint-Philippe,1,CA,1562188096,29,45.36,-73.48,90.0,3.36
223,Charters Towers,56,AU,1562188270,74,-20.07,146.27,60.42,7.02
224,Sable-sur-Sarthe,0,FR,1562188271,43,47.84,-0.33,73.4,5.82
225,Buin,20,CL,1562188273,62,-33.73,-70.74,61.0,3.36
226,Chifeng,0,CN,1562188275,49,42.27,118.96,65.82,8.43
227,Konevo,43,BG,1562188276,60,41.67,25.61,71.04,13.73
228,Creston,1,CA,1562188278,49,49.1,-116.52,72.0,4.47
229,Knin,0,HR,1562188158,74,44.04,16.2,78.8,4.7
230,Imst,40,AT,1562188280,68,47.24,10.74,68.0,3.36
231,Komsomolskiy,41,RU,1562188201,76,67.55,63.78,66.36,10.45
232,Vesyegonsk,100,RU,1562188283,97,58.67,37.27,51.6,8.46
233,Novopokrovka,0,UA,1562188284,48,49.84,36.56,66.2,6.71
234,Ribeira Grande,20,PT,1562188286,69,38.52,-28.7,73.4,5.82
235,Rabo de Peixe,20,PT,1562188287,82,37.8,-25.58,68.0,10.29
236,Raudeberg,75,NO,1562188289,93,61.99,5.14,46.4,11.41
237,Port Keats,1,AU,1562188291,31,-14.25,129.55,65.1,16.42
238,Bourail,65,NC,1562188292,79,-21.57,165.5,66.0,1.03
239,Sangar,0,RU,1562188294,50,63.92,127.47,51.6,3.96
240,Vila Franca do Campo,20,PT,1562188295,82,37.72,-25.43,68.0,10.29
241,Padang,74,ID,1562188253,79,-0.92,100.36,81.48,7.36
242,Santo Antonio do Ica,79,BR,1562188298,93,-3.1,-67.94,79.86,2.48
243,Masallatah,0,LY,1562188299,65,32.62,14.0,73.92,9.26
244,Ribas do Rio Pardo,70,BR,1562188301,59,-20.45,-53.76,74.1,5.06
245,Broken Hill,0,AU,1562188303,81,-31.97,141.45,42.8,12.75
246,Lakatoro,31,VU,1562188304,79,-16.11,167.42,79.14,5.46
247,Batagay,29,RU,1562188306,68,67.65,134.64,47.64,10.27
248,Banda Aceh,100,ID,1562188220,76,5.56,95.32,84.0,14.88
249,Bitung,40,ID,1562188309,100,1.44,125.19,73.4,1.68
250,Ponta do Sol,32,BR,1562188310,57,-20.63,-46.0,67.26,4.94
251,Moose Factory,20,CA,1562188312,57,51.26,-80.61,80.6,10.29
252,Nerchinskiy Zavod,56,RU,1562188313,96,51.31,119.61,55.74,8.16
253,Samarai,79,PG,1562188315,90,-10.62,150.67,71.04,4.52
254,Port Elizabeth,1,US,1562188316,52,39.31,-74.98,91.0,5.82
255,Atambua,2,ID,1562188317,74,-9.11,124.89,75.36,14.52
256,Berlevag,90,NO,1562188252,100,70.86,29.09,44.6,10.29
257,Comodoro Rivadavia,75,AR,1562188070,60,-45.87,-67.48,39.2,8.05
258,Alihe,77,CN,1562188321,86,50.57,123.73,58.08,1.36
259,Rancho Palos Verdes,40,US,1562188323,56,33.75,-118.37,82.0,4.7
260,Phan Thiet,95,VN,1562188324,93,10.93,108.1,70.86,4.45
261,Berzence,75,HR,1562188326,88,46.21,17.15,66.2,8.05
262,Jaru,30,BR,1562188327,56,-10.43,-62.48,85.62,3.11
263,Marfino,75,RU,1562188329,87,56.07,37.56,55.99,17.9
264,Burhar,100,IN,1562188331,83,23.21,81.54,78.96,5.73
265,Neiafu,40,TO,1562188332,78,-18.65,-173.98,77.0,13.87
266,Moramanga,0,MG,1562188334,83,-18.95,48.23,51.78,3.51
267,Dayong,90,CN,1562188336,94,25.02,118.29,80.6,2.24
268,Kayes,0,ML,1562188337,32,14.44,-11.44,97.5,4.03
269,Ponta Delgada,20,PT,1562188205,82,37.73,-25.67,68.0,10.29
270,Bilibino,97,RU,1562188341,65,68.06,166.44,49.62,2.19
271,Avarua,0,CK,1562188116,53,-21.21,-159.78,75.2,18.34
272,Dwarka,75,IN,1562188343,56,28.58,77.04,98.01,4.7
273,Geraldton,75,CA,1562188072,50,49.72,-86.95,75.2,9.17
274,Saint-Joseph,0,FR,1562188346,74,43.56,6.97,84.2,2.24
275,Timra,0,SE,1562188348,54,62.49,17.33,53.6,5.82
276,Presidencia Roque Saenz Pena,0,AR,1562188350,56,-26.79,-60.44,56.64,5.08
277,Baneh,0,IR,1562188352,28,35.99,45.88,71.6,8.05
278,Honiara,40,SB,1562188337,94,-9.43,159.96,77.0,3.36
279,Hereford,21,GB,1562188335,67,52.06,-2.72,66.99,3.47
280,Te Anau,28,NZ,1562188355,74,-45.41,167.72,42.42,3.51
281,Iquitos,75,PE,1562188357,319,-3.75,-73.25,42.8,4.7
282,Amazar,100,RU,1562188359,80,53.86,120.88,46.74,6.51
283,Tessalit,30,ML,1562188360,21,20.2,1.01,94.62,19.77
284,Caetes,78,BR,1562188362,88,-8.77,-36.62,72.48,7.36
285,Airai,5,TL,1562188364,79,-8.93,125.41,65.1,5.41
286,Badulla,99,LK,1562188365,72,6.99,81.06,67.98,5.97
287,Tazovskiy,52,RU,1562188343,58,67.47,78.7,56.64,5.46
288,Vuktyl,66,RU,1562188368,87,63.86,57.31,61.68,7.54
289,Belgrade,0,RS,1562188369,60,44.82,20.46,75.2,4.05
290,Daru,95,PG,1562188371,86,-9.07,143.21,73.2,7.43
291,Esterhazy,90,CA,1562188372,68,50.65,-102.08,63.48,8.97
292,Klichka,1,RU,1562188374,52,50.44,118.0,61.86,1.34
293,Bardsir,0,IR,1562188375,14,29.93,56.57,84.2,6.93
294,Krasnoyarskiy,0,RU,1562188377,93,51.97,59.9,57.9,10.4
295,Huarmey,0,PE,1562188378,86,-10.07,-78.15,63.12,13.76
296,Omboue,40,GA,1562188380,85,-1.57,9.26,73.2,9.91
297,Saint George,20,GR,1562188382,32,39.45,22.34,80.6,6.93
298,Meulaboh,100,ID,1562188198,82,4.14,96.13,81.12,7.99
299,Pevek,100,RU,1562188385,99,69.7,170.27,33.06,6.49
300,Cabra,0,ES,1562188386,54,37.47,-4.43,80.6,12.75
301,Flin Flon,75,CA,1562188190,51,54.77,-101.88,59.0,10.29
302,Praia da Vitoria,40,PT,1562188284,83,38.73,-27.07,72.0,9.6
303,Gazli,0,UZ,1562188390,26,40.13,63.45,75.72,7.4
304,San Ramon de la Nueva Oran,39,AR,1562188391,49,-23.13,-64.33,63.66,4.16
305,Tasiilaq,75,GL,1562188393,81,65.61,-37.64,44.6,2.24
306,Krasnyy Chikoy,100,RU,1562188395,94,50.36,108.75,55.92,3.02
307,Isangel,75,VU,1562188250,94,-19.55,169.27,68.0,4.65
308,Hearst,90,CA,1562188397,27,49.69,-83.67,87.78,8.97
309,Kavieng,70,PG,1562188116,70,-2.57,150.8,83.46,5.75
310,Sur,29,OM,1562188398,74,22.57,59.53,81.12,9.46
311,Noumea,0,NC,1562188401,93,-22.28,166.46,66.2,2.24
312,Mwinilunga,0,ZM,1562188403,48,-11.73,24.43,57.72,4.03
313,Half Moon Bay,75,US,1562188405,82,37.46,-122.43,73.4,12.75
314,Ketchikan,90,US,1562188407,93,55.34,-131.65,57.2,13.87
315,Katsuura,75,JP,1562188258,100,33.93,134.5,71.6,2.24
316,Bambanglipuro,0,ID,1562188409,89,-7.95,110.28,74.82,4.72
317,Derzhavinsk,83,KZ,1562188411,78,51.1,66.31,61.68,8.23
318,Skibbereen,20,IE,1562188413,82,51.55,-9.27,55.4,4.7
319,Hualmay,1,PE,1562188414,84,-11.1,-77.61,62.94,14.61
320,Olinda,90,AU,1562188415,100,-37.84,145.39,48.0,6.93
321,Chengdu,40,CN,1562188417,88,30.68,104.06,73.0,4.47
322,Vardo,40,US,1562188419,52,39.62,-77.74,95.0,4.7
323,Hovd,90,NO,1562188421,81,63.83,10.7,46.0,12.75
324,Mehamn,90,NO,1562188422,100,71.03,27.85,44.6,9.17
325,Leshukonskoye,98,RU,1562188259,97,64.9,45.76,56.28,3.8
326,San Carlos de Bariloche,75,AR,1562188156,70,-41.13,-71.31,42.8,12.75
327,Vredendal,0,ZA,1562188426,84,-31.68,18.49,58.08,11.25
328,Choya,36,RU,1562188427,89,52.01,86.55,53.58,2.37
329,Beloha,4,MG,1562188429,85,-25.17,45.06,60.42,3.27
330,Paamiut,28,GL,1562188431,75,61.99,-49.67,43.5,23.42
331,Iguape,97,BR,1562188433,96,-24.7,-47.56,66.9,3.76
332,Palkino,97,RU,1562188434,87,57.54,28.01,51.8,2.24
333,Athabasca,71,CA,1562188436,44,54.72,-113.29,62.58,8.14
334,Hervey Bay,40,AU,1562188437,82,-25.3,152.85,60.8,10.29
335,Tupik,57,RU,1562188439,78,54.43,119.94,44.76,8.21
336,Lannion,0,FR,1562188440,72,48.73,-3.46,62.01,3.36
337,Prieska,0,ZA,1562188442,28,-29.67,22.74,49.26,6.13
338,Mezhdurechensk,0,RU,1562188443,95,53.69,88.07,50.52,2.1
339,Clyde River,90,CA,1562188445,93,70.47,-68.59,37.4,13.87
340,Babenhausen,20,DE,1562188446,54,52.06,8.49,61.0,4.7
341,Saint Anthony,1,US,1562188448,36,43.97,-111.68,77.0,12.75
342,Beian,75,NO,1562188450,93,63.66,9.57,46.0,14.99
343,Mpraeso,97,GH,1562188451,97,6.6,-0.73,73.2,4.7
344,Nakamura,75,JP,1562188453,94,35.17,136.87,78.01,3.04
345,Coquimbo,0,CL,1562188455,58,-29.95,-71.34,59.0,10.29
346,Washington DC.,40,US,1562188339,52,38.9,-77.04,93.2,6.93
347,Sydney Mines,40,CA,1562188457,63,46.24,-60.22,64.0,13.87
348,Manokwari,100,ID,1562188459,90,-0.87,134.08,72.12,3.89
349,Tsurib,0,RU,1562188460,80,42.24,46.83,51.42,2.98
350,Malpe,40,IN,1562188461,88,13.35,74.72,80.6,6.93
351,Bintulu,90,MY,1562188463,94,3.17,113.03,73.4,8.05
352,Sao Jose da Coroa Grande,0,BR,1562188464,92,-8.9,-35.15,73.56,4.0
353,Bucerias,5,MX,1562188466,40,20.76,-105.33,89.01,16.11
354,Mogadouro,100,PT,1562188467,31,41.34,-6.71,76.62,0.67
355,Ahipara,100,NZ,1562188469,96,-35.17,173.16,61.14,5.88
356,Takoradi,95,GH,1562188471,93,4.89,-1.75,75.0,4.18
357,Abha,40,SA,1562188472,53,18.22,42.5,75.2,8.05
358,Pontal do Parana,75,BR,1562188474,93,-25.67,-48.51,64.99,10.29
359,Nyimba,0,ZM,1562188475,65,-14.56,30.81,67.8,2.48
360,Eureka,20,US,1562188444,77,40.8,-124.16,68.0,13.87
361,Obihiro,100,JP,1562188389,97,42.92,143.2,57.72,3.87
362,Ambulu,9,ID,1562188479,88,-8.35,113.61,75.54,2.71
363,Barreirinha,23,BR,1562188481,67,-2.8,-57.07,84.9,4.81
364,Pacific Grove,75,US,1562188483,63,36.62,-121.92,84.0,16.11
365,Veraval,0,FR,1562188484,59,49.65,0.71,64.99,10.29
366,Hobara,75,JP,1562188486,93,37.82,140.55,66.2,10.29
367,College,90,US,1562188487,53,64.86,-147.8,71.6,3.36
368,Acapulco,20,MX,1562188489,62,16.86,-99.88,89.6,9.17
369,Kieta,30,PG,1562188490,80,-6.22,155.63,79.5,6.17
370,Moerai,0,PF,1562188492,69,-22.43,-151.33,68.16,27.65
371,Harrison,40,US,1562188494,61,39.26,-84.82,86.0,3.36
372,Anadyr,0,RU,1562188488,63,64.73,177.51,66.0,11.32
373,Kununurra,36,AU,1562188496,32,-15.77,128.74,66.2,5.82
